COUNTRY,VISITED,CODE,INFO
Japan,0,JPN,Japan
Jersey,0,JEY,Jersey
Jordan,0,JOR,Jordan
Kazakhstan,0,KAZ,Kazakhstan
Kenya,0,KEN,Kenya
Kiribati,0,KIR,Kiribati
"Korea, North",0,PRK,"Korea, North"
"Korea, South",1,KOR,I visited South Korea in summer 2018 to teach at New Era Debate Camp.
Kosovo,0,KSV,Kosovo
Kuwait,0,KWT,Kuwait
Kyrgyzstan,0,KGZ,Kyrgyzstan
Laos,0,LAO,Laos
Latvia,0,LVA,Latvia
Lebanon,0,LBN,Lebanon
Lesotho,0,LSO,Lesotho
Liberia,0,LBR,Liberia
Libya,0,LBY,Libya
Liechtenstein,0,LIE,Liechtenstein
Lithuania,0,LTU,Lithuania
Luxembourg,0,LUX,Luxembourg
Macau,0,MAC,Macau
Macedonia,0,MKD,Macedonia
Madagascar,0,MDG,Madagascar
Malawi,0,MWI,Malawi
Malaysia,0,MYS,Malaysia
Maldives,0,MDV,Maldives
Mali,0,MLI,Mali
Malta,0,MLT,Malta
Marshall Islands,0,MHL,Marshall Islands
Mauritania,0,MRT,Mauritania
Mauritius,0,MUS,Mauritius
Mexico,1,MEX,I visit Mexico with my family frequently.
"Micronesia, Federated States of",0,FSM,"Micronesia, Federated States of"
Moldova,0,MDA,Moldova
Monaco,0,MCO,Monaco
Mongolia,0,MNG,Mongolia
Montenegro,0,MNE,Montenegro
Morocco,0,MAR,Morocco
Mozambique,0,MOZ,Mozambique
Namibia,0,NAM,Namibia
Nepal,0,NPL,Nepal
Netherlands,0,NLD,Netherlands
New Caledonia,0,NCL,New Caledonia
New Zealand,0,NZL,New Zealand
Nicaragua,0,NIC,Nicaragua
Nigeria,0,NGA,Nigeria
Niger,0,NER,Niger
Niue,0,NIU,Niue
Northern Mariana Islands,0,MNP,Northern Mariana Islands
Norway,0,NOR,Norway
Oman,0,OMN,Oman
Pakistan,0,PAK,Pakistan
Palau,0,PLW,Palau
Panama,0,PAN,Panama
Papua New Guinea,0,PNG,Papua New Guinea
Paraguay,0,PRY,Paraguay
Peru,0,PER,Peru
Philippines,0,PHL,Philippines
Poland,0,POL,Poland
Portugal,0,PRT,Portugal
Puerto Rico,0,PRI,Puerto Rico
Qatar,0,QAT,Qatar
Romania,0,ROU,Romania
Russia,0,RUS,Russia
Rwanda,0,RWA,Rwanda
Saint Kitts and Nevis,0,KNA,Saint Kitts and Nevis
Saint Lucia,0,LCA,Saint Lucia
Saint Martin,0,MAF,Saint Martin
Saint Pierre and Miquelon,0,SPM,Saint Pierre and Miquelon
Saint Vincent and the Grenadines,0,VCT,Saint Vincent and the Grenadines
Samoa,0,WSM,Samoa
San Marino,0,SMR,San Marino
Sao Tome and Principe,0,STP,Sao Tome and Principe
Saudi Arabia,0,SAU,Saudi Arabia
Senegal,0,SEN,Senegal
Serbia,0,SRB,Serbia
Seychelles,0,SYC,Seychelles
Sierra Leone,0,SLE,Sierra Leone
Singapore,0,SGP,Singapore
Sint Maarten,0,SXM,Sint Maarten
Slovakia,0,SVK,Slovakia
Slovenia,0,SVN,Slovenia
Solomon Islands,0,SLB,Solomon Islands
Somalia,0,SOM,Somalia
South Africa,0,ZAF,South Africa
South Sudan,0,SSD,South Sudan
Spain,0,ESP,Spain
Sri Lanka,0,LKA,Sri Lanka
Sudan,0,SDN,Sudan
Suriname,0,SUR,Suriname
Swaziland,0,SWZ,Swaziland
Sweden,0,SWE,Sweden
Switzerland,0,CHE,Switzerland
Syria,0,SYR,Syria
Taiwan,0,TWN,Taiwan
Tajikistan,0,TJK,Tajikistan
Tanzania,0,TZA,Tanzania
Thailand,0,THA,Thailand
Timor-Leste,0,TLS,Timor-Leste
Togo,0,TGO,Togo
Tonga,0,TON,Tonga
Trinidad and Tobago,0,TTO,Trinidad and Tobago
Tunisia,0,TUN,Tunisia
Turkey,0,TUR,Turkey
Turkmenistan,0,TKM,Turkmenistan
Tuvalu,0,TUV,Tuvalu
Uganda,0,UGA,Uganda
Ukraine,0,UKR,Ukraine
United Arab Emirates,0,ARE,United Arab Emirates
United Kingdom,1,GBR,I visited England and Scotland while competing at the Cambridge Debate Invitational in winter 2017.
United States,1,USA,"I was born and raised in San Jose, California."
Uruguay,0,URY,Uruguay
Uzbekistan,0,UZB,Uzbekistan
Vanuatu,0,VUT,Vanuatu
Venezuela,0,VEN,Venezuela
Vietnam,0,VNM,Vietnam
Virgin Islands,0,VGB,Virgin Islands
West Bank,1,WBG,I visited Ramallah on an educational trip to learn about the Israeli-Palestinan conflict in winter 2018.
Yemen,0,YEM,Yemen
Zambia,0,ZMB,Zambia
Zimbabwe,0,ZWE,Zimbabwe
